link_id,year,calls
PT1,2013,10
PT10,2013,10
PT11,2013,69
PT12,2013,150
PT13,2013,14
PT14,2013,51
PT15,2013,0
PT16,2013,58
PT17,2013,52
PT18,2013,55
PT19,2013,70
PT2,2013,24
PT20,2013,226
PT21,2013,432
PT22,2013,125
PT23,2013,23
PT25,2013,52
PT26,2013,86
PT27,2013,5
PT28,2013,38
PT29,2013,47
PT3,2013,51
PT30,2013,21
PT33,2013,0
PT34,2013,15
PT4,2013,2
PT5,2013,74
PT6,2013,120
PT8,2013,24
PT9,2013,22
PT35,2013,0
PT1,2014,15
PT10,2014,11
PT11,2014,78
PT12,2014,128
PT13,2014,10
PT14,2014,48
PT15,2014,0
PT16,2014,85
PT17,2014,70
PT18,2014,55
PT19,2014,77
PT2,2014,12
PT20,2014,218
PT21,2014,444
PT22,2014,125
PT23,2014,27
PT25,2014,52
PT26,2014,86
PT27,2014,0
PT28,2014,46
PT29,2014,23
PT3,2014,56
PT30,2014,26
PT33,2014,0
PT34,2014,14
PT4,2014,2
PT5,2014,74
PT6,2014,68
PT8,2014,48
PT9,2014,8
PT35,2014,0
PT1,2015,13
PT10,2015,10
PT11,2015,78
PT12,2015,146
PT13,2015,12
PT14,2015,46
PT16,2015,63
PT17,2015,86
PT18,2015,49
PT19,2015,88
PT2,2015,7
PT20,2015,257
PT21,2015,468
PT22,2015,151
PT23,2015,32
PT25,2015,50
PT27,2015,5
PT28,2015,53
PT29,2015,41
PT3,2015,59
PT30,2015,35
PT5,2015,67
PT6,2015,58
PT8,2015,88
PT9,2015,3
PT15,2015,0
PT26,2015,0
PT33,2015,0
PT34,2015,0
PT4,2015,0
PT35,2015,0
