region_id,rel_region_id,mode,dir,ton,val
34005,49,all,out,34746.33443,18964736.09
34005,5,all,out,342.7804111,4876873.118
34005,50,all,out,590.0409633,673917.6555
34005,51,all,out,490.3114004,1575630.439
34005,52,all,out,14332.32754,35324053.71
34005,53,all,out,205.5875349,753964.4906
34005,54,all,out,1797.309666,4222919.777
34005,55,all,out,115.4231956,161458.703
34005,56,all,out,63.93547678,281789.4782
34005,57,all,out,19.51385464,21845.85017
34005,58,all,out,76.2520876,340712.1079
34005,59,all,out,78.41673465,240842.8203
34005,6,all,out,413.2518439,623534.8349
34005,60,all,out,3333.058412,21244479.77
34005,61,all,out,77.78756276,635188.2886
34005,62,all,out,221.4266705,524598.627
34005,63,all,out,569.4939258,668387.5348
34005,64,all,out,2152.206369,11659944.61
34005,65,all,out,615.3988803,788146.6765
34005,66,all,out,28371.2361,121630313.1
34005,67,all,out,12895.08174,46074452.36
34005,68,all,out,9372.329445,64316212.14
34005,69,all,out,5945.702084,5879015.627
34005,7,all,out,455.9719848,619737.3751
34005,70,all,out,263487.4649,223490099.8
34005,71,all,out,3742.20012,10656684.22
34005,72,all,out,250445.8238,382517001.9
34005,73,all,out,73.19716589,139705.1094
34005,75,all,out,13893.20846,28571350.05
34005,76,all,out,734.8069245,3364753.875
34005,77,all,out,228.6691162,317309.2806
34005,78,all,out,30736.17204,74827543.25
34005,79,all,out,6120.591823,17098084.97
34005,80,all,out,211.9856951,683761.6549
34005,81,all,out,7936.455836,42058118.45
34005,82,all,out,155.3705413,173938.0415
34005,83,all,out,323.337762,361978.116
34005,84,all,out,2145.425175,2456701.55
34005,85,all,out,211.8296083,230050.0964
34005,86,all,out,18.92216681,69752.25094
34005,87,all,out,852.6871078,1613715.1
34005,88,all,out,9444.988807,53028285.44
34005,89,all,out,833.4647374,899508.4817
34005,9,all,out,1231.866212,1419686.879
34005,90,all,out,224.3836277,481027.9163
34005,91,all,out,6584.610695,6286910.287
34005,92,all,out,2996.261612,5143613.069
34005,93,all,out,18.63253788,51042.76583
34005,94,all,out,9087.848282,43397628.79
34005,95,all,out,82.7753036,99838.7324
34005,96,all,out,267.6332118,811213.1132
34005,97,all,out,7848.23348,25366818.86
34005,98,all,out,4127.724208,15324113.68
34005,99,all,out,278.7233704,14859675.69
34007,10,all,out,1783.03371,5569903.472
34007,100,all,out,195.200866,252919.3978
34007,101,all,out,262.8435671,311566.7164
34007,102,all,out,55.84288315,61820.64387
34007,103,all,out,61.9923133,69400.6795
34007,104,all,out,390.7529919,2611693.077
34007,105,all,out,801.5738515,1643679.89
34007,106,all,out,12051.46153,34603503.68
34007,107,all,out,233.2740095,1119010.279
34007,108,all,out,3370.870188,6409885.127
34007,109,all,out,2310.384061,2872702.689
34007,11,all,out,1582.387359,8333786.25
34007,110,all,out,22.93266135,366611.3935
34007,111,all,out,74.43430142,132713.8304
34007,112,all,out,2853.848034,4998482.065
34007,113,all,out,55.0261357,804098.9077
34007,114,all,out,182.749861,204589.323
34007,115,all,out,6537.627422,17969746.81
34007,116,all,out,770.8388964,2126538.471
34007,117,all,out,1727.837828,9725986.557
34007,118,all,out,3688919.917,3752385975
34007,119,all,out,418.0880681,1618986.602
34007,12,all,out,296.8667653,2077288.103
34007,120,all,out,696.4064335,804437.608
34007,121,all,out,4494.296513,5545289.328
34007,122,all,out,56.0084386,62701.7059
34007,123,all,out,2521.327434,2110885.966
34007,124,all,out,18.17435225,32972.72683
34007,125,all,out,371.4542273,1249863.611
34007,126,all,out,145.3708915,297590.037
34007,127,all,out,283034.0253,191308986.3
34007,128,all,out,1495.179492,2298735.444
34007,129,all,out,123471.417,176726235.6
34007,13,all,out,203.8885245,1715712.045
34007,130,all,out,14800.28495,38276187.74
34007,131,all,out,826.7443845,2920794.26
34007,132,all,out,377.9232597,439823.7843
34007,133,all,out,37473.11926,128028588.3
34007,134,all,out,172.559562,205566.996
34007,135,all,out,19.759094,41389.57173
34007,136,all,out,80.13418424,189683.73
34007,137,all,out,76146.95554,188014375.4
34007,138,all,out,9882.790697,25188284.85
34007,139,all,out,44971.59057,72373787.16
34007,14,all,out,900.2899148,4720988.06
34007,140,all,out,185.8911668,352652.1568
34007,141,all,out,14.140777,11096.2025
34007,142,all,out,1626.00944,3065910.94
34007,143,all,out,16.21422001,111658.8774
34007,144,all,out,412.8309533,2462272.81
34007,145,all,out,1217.985397,2704152.338
34007,146,all,out,2886.835339,6513113.932
34007,147,all,out,187.2875426,274918.1647
34007,148,all,out,961.842502,1585449.606
34007,149,all,out,2334.565632,5472082.568
34007,15,all,out,295.4918169,3258329.606
34007,150,all,out,6.6282171,7146.1974
34007,151,all,out,41522.1564,74091196
34007,152,all,out,692.4802197,3997889.003
34007,153,all,out,70.71401715,617493.841
34007,154,all,out,204.2383578,227683.9033
34007,155,all,out,871.94839,976150.28
34007,156,all,out,20088.8129,35035338.5
34007,157,all,out,165.4314521,909384.8543
34007,158,all,out,276.6604576,364791.3854
34007,159,all,out,459.0897288,513953.0589
34007,16,all,out,272.5126662,1992312.343
34007,160,all,out,2399.70666,2761963.496
34007,161,all,out,37696.81035,67711024.82
34007,162,all,out,49586.9105,92214836.06
34007,163,all,out,3251.93873,3709744.283
34007,164,all,out,3198.390558,5522919.495
34007,165,all,out,45.64288531,151692.299
34007,166,all,out,4999.377147,13981093.79
34007,167,all,out,79.435678,88928.615
34007,168,all,out,53.9389972,89694.5629
34007,169,all,out,298.111394,505808.5883
34007,17,all,out,11.89097403,22058.19563
34007,170,all,out,444.355441,765977.9759
34007,171,all,out,21.04184948,89302.2477
34007,172,all,out,25.58107059,52878.5459
34007,173,all,out,165993.5118,137709128.2
34007,174,all,out,529045.6594,586465050.5
