'OBJECTID','OID','4'
'Shape','Geometry','0'
'Port_ID','Double','8'
'Name','String','75'
'Type','String','254'
'Owner','String','254'
'Operator_s','String','254'
'Township','String','254'
'Fcenter','Double','8'
'Cargo','String','254'
'Cap_1','String','254'
'Cap_2','String','254'
'Cap_3','String','254'
'Cap_4','String','254'
'Cap_5','String','254'
'Acres','String','254'
'Act_1','String','254'
'Source','String','254'
'Shape_Length','Double','8'
'Shape_Area','Double','8'
